	Team 1	Team 2	Home_team_score	Away_team_score
12232	Southend United FC (	Crystal Palace FC (	0	1
12233	West Bromwich Albion FC (	Cardiff City FC (	1	0
12234	Derby County FC (	Stoke City FC (	0	2
12235	Cardiff City FC (	Preston North End FC (	4	1
12236	Colchester United FC (	Burnley FC (	0	0
12237	Crystal Palace FC (	Luton Town FC (	2	1
12238	Hull City AFC (	Birmingham City FC (	2	0
12239	Leicester City FC (	West Bromwich Albion FC (	1	1
12240	Norwich City FC (	Coventry City FC (	1	1
12241	Queens Park Rangers FC (	Plymouth Argyle FC (	1	1
12242	Sheffield Wednesday FC (	Southend United FC (	3	2
12243	Southampton FC (	Ipswich Town FC (	1	0
12244	Sunderland AFC (	Derby County FC (	2	1
12245	Wolverhampton Wanderers FC (	Leeds United FC (	1	0
12246	Stoke City FC (	Barnsley FC (	0	1
12247	Birmingham City FC (	Leeds United FC (	1	0
12248	Luton Town FC (	Norwich City FC (	2	3
12249	Derby County FC (	Colchester United FC (	5	1
12250	Barnsley FC (	Norwich City FC (	1	3
12251	Burnley FC (	Crystal Palace FC (	1	1
12252	Coventry City FC (	Hull City AFC (	2	0
12253	Ipswich Town FC (	Queens Park Rangers FC (	2	1
12254	Leeds United FC (	Sheffield Wednesday FC (	2	3
12255	Luton Town FC (	Wolverhampton Wanderers FC (	2	3
12256	Plymouth Argyle FC (	Stoke City FC (	1	1
12257	Southend United FC (	Leicester City FC (	2	2
12258	West Bromwich Albion FC (	Sunderland AFC (	1	2
12259	Birmingham City FC (	Cardiff City FC (	1	0
12260	Preston North End FC (	Southampton FC (	3	1
12261	Hull City AFC (	Ipswich Town FC (	2	5
12262	Norwich City FC (	Derby County FC (	1	2
12263	Sheffield Wednesday FC (	Plymouth Argyle FC (	1	1
12264	Birmingham City FC (	Derby County FC (	1	0
12265	Barnsley FC (	Sunderland AFC (	0	2
12266	Cardiff City FC (	Norwich City FC (	1	0
12267	Colchester United FC (	Coventry City FC (	0	0
12268	Crystal Palace FC (	Leicester City FC (	2	0
12269	Hull City AFC (	Preston North End FC (	2	0
12270	Ipswich Town FC (	Southend United FC (	0	2
12271	Leeds United FC (	Luton Town FC (	1	0
12272	Queens Park Rangers FC (	Sheffield Wednesday FC (	1	1
12273	Stoke City FC (	Southampton FC (	2	1
12274	Wolverhampton Wanderers FC (	West Bromwich Albion FC (	1	0
12275	Coventry City FC (	Wolverhampton Wanderers FC (	2	1
12276	Derby County FC (	Queens Park Rangers FC (	1	1
12277	Leicester City FC (	Leeds United FC (	1	1
12278	Luton Town FC (	Hull City AFC (	1	2
12279	Norwich City FC (	Birmingham City FC (	1	0
12280	Preston North End FC (	Ipswich Town FC (	1	0
12281	Sheffield Wednesday FC (	Colchester United FC (	2	0
12282	Southampton FC (	Cardiff City FC (	2	2
12283	Southend United FC (	Burnley FC (	1	0
12284	Sunderland AFC (	Stoke City FC (	2	2
12285	Plymouth Argyle FC (	Barnsley FC (	2	4
12286	West Bromwich Albion FC (	Crystal Palace FC (	2	3
12287	Southampton FC (	Colchester United FC (	1	2
12288	Coventry City FC (	Barnsley FC (	4	1
12289	Derby County FC (	Cardiff City FC (	3	1
12290	Leicester City FC (	Queens Park Rangers FC (	1	3
12291	Luton Town FC (	Ipswich Town FC (	0	2
12292	Norwich City FC (	Stoke City FC (	1	0
12293	Plymouth Argyle FC (	Crystal Palace FC (	1	0
12294	Preston North End FC (	Burnley FC (	2	0
12295	Sheffield Wednesday FC (	Wolverhampton Wanderers FC (	2	2
12296	Southend United FC (	Leeds United FC (	1	1
12297	Sunderland AFC (	Hull City AFC (	2	0
12298	West Bromwich Albion FC (	Birmingham City FC (	1	1
12299	Leeds United FC (	Preston North End FC (	2	1
12300	Barnsley FC (	Derby County FC (	1	2
12301	Burnley FC (	Luton Town FC (	0	0
12302	Cardiff City FC (	Sunderland AFC (	0	1
12303	Colchester United FC (	Norwich City FC (	3	0
12304	Crystal Palace FC (	Sheffield Wednesday FC (	1	2
12305	Hull City AFC (	Southend United FC (	4	0
12306	Ipswich Town FC (	Plymouth Argyle FC (	3	0
12307	Queens Park Rangers FC (	West Bromwich Albion FC (	1	2
12308	Stoke City FC (	Leicester City FC (	4	2
12309	Wolverhampton Wanderers FC (	Southampton FC (	0	6
12310	Birmingham City FC (	Coventry City FC (	3	0
12311	Burnley FC (	Plymouth Argyle FC (	4	0
12312	Queens Park Rangers FC (	Preston North End FC (	1	0
12313	Hull City AFC (	Norwich City FC (	1	2
12314	Leicester City FC (	Derby County FC (	1	1
12315	Southend United FC (	Colchester United FC (	0	3
12316	Birmingham City FC (	Burnley FC (	0	1
12317	Cardiff City FC (	Sheffield Wednesday FC (	1	2
12318	Coventry City FC (	Queens Park Rangers FC (	0	1
12319	Crystal Palace FC (	Preston North End FC (	3	0
12320	Ipswich Town FC (	Barnsley FC (	5	1
12321	Leeds United FC (	Plymouth Argyle FC (	2	1
12322	Luton Town FC (	Southampton FC (	0	2
12323	Sunderland AFC (	Wolverhampton Wanderers FC (	2	1
12324	West Bromwich Albion FC (	Stoke City FC (	1	3
12325	Barnsley FC (	Birmingham City FC (	1	0
12326	Burnley FC (	Cardiff City FC (	2	0
12327	Colchester United FC (	Leeds United FC (	2	1
12328	Derby County FC (	Coventry City FC (	1	1
12329	Norwich City FC (	West Bromwich Albion FC (	1	2
12330	Plymouth Argyle FC (	Leicester City FC (	3	0
12331	Preston North End FC (	Southend United FC (	2	3
12332	Queens Park Rangers FC (	Luton Town FC (	3	2
12333	Sheffield Wednesday FC (	Ipswich Town FC (	2	0
12334	Southampton FC (	Sunderland AFC (	1	2
12335	Stoke City FC (	Crystal Palace FC (	2	1
12336	Wolverhampton Wanderers FC (	Hull City AFC (	3	1
12337	West Bromwich Albion FC (	Sheffield Wednesday FC (	0	1
12338	Birmingham City FC (	Southampton FC (	2	1
12339	Cardiff City FC (	Stoke City FC (	1	1
12340	Coventry City FC (	Preston North End FC (	0	4
12341	Crystal Palace FC (	Wolverhampton Wanderers FC (	2	2
12342	Hull City AFC (	Colchester United FC (	1	1
12343	Ipswich Town FC (	Derby County FC (	2	1
12344	Leeds United FC (	Burnley FC (	1	0
12345	Leicester City FC (	Norwich City FC (	1	2
12346	Luton Town FC (	Plymouth Argyle FC (	1	2
12347	Southend United FC (	Barnsley FC (	1	3
12348	Sunderland AFC (	Queens Park Rangers FC (	2	1
12349	Burnley FC (	Norwich City FC (	3	0
12350	Leicester City FC (	Birmingham City FC (	1	2
12351	Derby County FC (	Luton Town FC (	1	0
12352	Barnsley FC (	Crystal Palace FC (	2	0
12353	Colchester United FC (	Sunderland AFC (	3	1
12354	Plymouth Argyle FC (	Southend United FC (	2	1
12355	Preston North End FC (	Leicester City FC (	0	1
12356	Queens Park Rangers FC (	Cardiff City FC (	1	0
12357	Sheffield Wednesday FC (	Coventry City FC (	2	1
12358	Southampton FC (	Leeds United FC (	1	0
12359	Stoke City FC (	Hull City AFC (	1	1
12360	Norwich City FC (	Ipswich Town FC (	1	1
12361	Wolverhampton Wanderers FC (	Birmingham City FC (	2	3
12362	Burnley FC (	West Bromwich Albion FC (	3	2
12363	Sunderland AFC (	Burnley FC (	3	2
12364	Barnsley FC (	Leicester City FC (	0	1
12365	Birmingham City FC (	Sheffield Wednesday FC (	2	0
12366	Cardiff City FC (	Hull City AFC (	0	1
12367	Coventry City FC (	West Bromwich Albion FC (	0	1
12368	Leeds United FC (	Ipswich Town FC (	1	1
12369	Norwich City FC (	Southampton FC (	0	1
12370	Plymouth Argyle FC (	Preston North End FC (	2	0
12371	Southend United FC (	Luton Town FC (	1	3
12372	Stoke City FC (	Colchester United FC (	3	1
12373	Wolverhampton Wanderers FC (	Queens Park Rangers FC (	2	0
12374	Crystal Palace FC (	Derby County FC (	2	0
12375	Burnley FC (	Coventry City FC (	1	2
12376	Colchester United FC (	Crystal Palace FC (	0	2
12377	Derby County FC (	Leeds United FC (	2	0
12378	Hull City AFC (	Plymouth Argyle FC (	1	2
12379	Ipswich Town FC (	Cardiff City FC (	3	1
12380	Leicester City FC (	Wolverhampton Wanderers FC (	1	4
12381	Luton Town FC (	Sunderland AFC (	0	5
12382	Preston North End FC (	Birmingham City FC (	1	0
12383	Queens Park Rangers FC (	Stoke City FC (	1	1
12384	Sheffield Wednesday FC (	Norwich City FC (	3	2
12385	Southampton FC (	Southend United FC (	4	1
12386	West Bromwich Albion FC (	Barnsley FC (	7	0
12387	Tea	Tea	F	T
12388	Barnsley FC 	Coventry City FC 	1	4
12389	Bristol City FC 	Queens Park Rangers FC 	2	2
12390	Burnley FC 	West Bromwich Albion FC 	2	1
12391	Cardiff City FC 	Stoke City FC 	0	1
12392	Charlton Athletic FC 	Scunthorpe United FC 	1	1
12393	Hull City AFC 	Plymouth Argyle FC 	2	3
12394	Ipswich Town FC 	Sheffield Wednesday FC 	4	1
12395	Leicester City FC 	Blackpool FC 	0	1
12396	Preston North End FC 	Norwich City FC 	0	0
12397	Sheffield United FC 	Colchester United FC 	2	2
12398	Southampton FC 	Crystal Palace FC 	1	4
12399	Wolverhampton Wanderers FC 	Watford FC 	1	2
12400	Blackpool FC 	Bristol City FC 	1	1
12401	Colchester United FC 	Barnsley FC 	2	2
12402	Coventry City FC 	Hull City AFC 	1	1
12403	Crystal Palace FC 	Leicester City FC 	2	2
12404	Norwich City FC 	Southampton FC 	2	1
12405	Plymouth Argyle FC 	Ipswich Town FC 	1	1
12406	Queens Park Rangers FC 	Cardiff City FC 	0	2
12407	Scunthorpe United FC 	Burnley FC 	2	0
12408	Stoke City FC 	Charlton Athletic FC 	2	1
12409	Watford FC 	Sheffield United FC 	1	0
12410	West Bromwich Albion FC 	Preston North End FC 	2	0
12411	Sheffield Wednesday FC 	Wolverhampton Wanderers FC 	1	3
12412	Barnsley FC 	Plymouth Argyle FC 	3	2
12413	Bristol City FC 	Scunthorpe United FC 	2	1
12414	Cardiff City FC 	Coventry City FC 	0	1
12415	Charlton Athletic FC 	Sheffield Wednesday FC 	3	2
12416	Hull City AFC 	Norwich City FC 	2	1
12417	Leicester City FC 	Watford FC 	4	1
12418	Preston North End FC 	Colchester United FC 	0	3
12419	Sheffield United FC 	West Bromwich Albion FC 	1	0
12420	Southampton FC 	Stoke City FC 	3	2
12421	Wolverhampton Wanderers FC 	Blackpool FC 	2	1
12422	Ipswich Town FC 	Crystal Palace FC 	1	0
12423	Colchester United FC 	Burnley FC 	2	3
12424	Coventry City FC 	Preston North End FC 	2	1
12425	Crystal Palace FC 	Charlton Athletic FC 	0	1
12426	Norwich City FC 	Cardiff City FC 	1	2
12427	Plymouth Argyle FC 	Leicester City FC 	0	0
12428	Queens Park Rangers FC 	Southampton FC 	0	3
12429	Scunthorpe United FC 	Sheffield United FC 	3	2
12430	Sheffield Wednesday FC 	Bristol City FC 	0	1
12431	Stoke City FC 	Wolverhampton Wanderers FC 	0	0
12432	Watford FC 	Ipswich Town FC 	2	0
12433	West Bromwich Albion FC 	Barnsley FC 	2	0
12434	Blackpool FC 	Hull City AFC 	2	1
12435	Barnsley FC 	Scunthorpe United FC 	2	0
12436	Burnley FC 	Blackpool FC 	2	2
12437	Colchester United FC 	Charlton Athletic FC 	2	2
12438	Coventry City FC 	Bristol City FC 	0	3
12439	Hull City AFC 	Stoke City FC 	1	1
12440	Leicester City FC 	Queens Park Rangers FC 	1	1
12441	Norwich City FC 	Crystal Palace FC 	1	0
12442	Plymouth Argyle FC 	Cardiff City FC 	2	2
12443	Preston North End FC 	Sheffield Wednesday FC 	1	0
12444	Sheffield United FC 	Wolverhampton Wanderers FC 	3	1
12445	West Bromwich Albion FC 	Ipswich Town FC 	4	0
12446	Watford FC 	Southampton FC 	3	2
12447	Blackpool FC 	Sheffield United FC 	2	2
12448	Bristol City FC 	West Bromwich Albion FC 	1	1
12449	Charlton Athletic FC 	Norwich City FC 	2	0
12450	Crystal Palace FC 	Coventry City FC 	1	1
12451	Queens Park Rangers FC 	Plymouth Argyle FC 	0	2
12452	Scunthorpe United FC 	Preston North End FC 	2	1
12453	Sheffield Wednesday FC 	Burnley FC 	0	2
12454	Stoke City FC 	Barnsley FC 	0	0
12455	Wolverhampton Wanderers FC 	Hull City AFC 	0	1
12456	Cardiff City FC 	Watford FC 	1	2
12457	Southampton FC 	Colchester United FC 	1	1
12458	Blackpool FC 	Colchester United FC 	2	2
12459	Bristol City FC 	Burnley FC 	2	2
12460	Cardiff City FC 	Preston North End FC 	2	2
12461	Charlton Athletic FC 	Leicester City FC 	2	0
12462	Crystal Palace FC 	Sheffield United FC 	3	2
12463	Ipswich Town FC 	Coventry City FC 	4	1
12464	Queens Park Rangers FC 	Watford FC 	1	1
12465	Scunthorpe United FC 	West Bromwich Albion FC 	2	3
12466	Sheffield Wednesday FC 	Hull City AFC 	1	0
12467	Southampton FC 	Barnsley FC 	2	3
12468	Stoke City FC 	Plymouth Argyle FC 	3	2
12469	Wolverhampton Wanderers FC 	Norwich City FC 	2	0
12470	Barnsley FC 	Cardiff City FC 	1	1
12471	Burnley FC 	Crystal Palace FC 	1	1
12472	Colchester United FC 	Scunthorpe United FC 	0	1
12473	Coventry City FC 	Charlton Athletic FC 	1	1
12474	Hull City AFC 	Ipswich Town FC 	3	1
12475	Leicester City FC 	Stoke City FC 	1	1
12476	Norwich City FC 	Sheffield Wednesday FC 	0	1
12477	Plymouth Argyle FC 	Wolverhampton Wanderers FC 	1	1
12478	Preston North End FC 	Bristol City FC 	0	0
12479	Sheffield United FC 	Southampton FC 	1	2
12480	Watford FC 	Blackpool FC 	1	1
12481	West Bromwich Albion FC 	Queens Park Rangers FC 	5	1
12482	Barnsley FC 	Bristol City FC 	3	0
12483	Burnley FC 	Ipswich Town FC 	2	2
12484	Coventry City FC 	Blackpool FC 	3	1
12485	Hull City AFC 	Charlton Athletic FC 	1	2
12486	Leicester City FC 	Wolverhampton Wanderers FC 	0	0
12487	Norwich City FC 	Scunthorpe United FC 	0	0
12488	Plymouth Argyle FC 	Crystal Palace FC 	1	0
12489	Preston North End FC 	Southampton FC 	5	1
12490	Sheffield United FC 	Cardiff City FC 	3	3
12491	Watford FC 	Sheffield Wednesday FC 	2	1
12492	Colchester United FC 	Queens Park Rangers FC 	4	2
12493	West Bromwich Albion FC 	Stoke City FC 	1	1
12494	Blackpool FC (	Plymouth Argyle FC (	0	0
12495	Bristol City FC (	Sheffield United FC (	2	0
12496	Cardiff City FC (	Burnley FC 	2	1
12497	Charlton Athletic FC (	Barnsley FC (	1	1
12498	Crystal Palace FC (	Hull City AFC (	1	1
12499	Ipswich Town FC 	Preston North End FC (	2	1
12500	Scunthorpe United FC (	Watford FC (	1	3
12501	Sheffield Wednesday FC (	Leicester City FC 	0	2
12502	Southampton FC (	West Bromwich Albion FC (	3	2
12503	Stoke City FC (	Colchester United FC (	2	1
12504	Wolverhampton Wanderers FC (	Coventry City FC (	1	0
12505	Queens Park Rangers FC 	Norwich City FC (	1	0
12506	Barnsley FC (	Burnley FC (	1	1
12507	Blackpool FC (	Crystal Palace FC (	1	1
12508	Colchester United FC (	West Bromwich Albion FC (	3	2
12509	Norwich City FC (	Bristol City FC (	1	3
12510	Plymouth Argyle FC (	Coventry City FC (	1	0
12511	Queens Park Rangers FC (	Ipswich Town FC (	1	1
12512	Scunthorpe United FC (	Leicester City FC (	0	0
12513	Sheffield United FC (	Preston North End FC (	1	1
12514	Stoke City FC (	Sheffield Wednesday FC (	2	4
12515	Watford FC (	Hull City AFC (	1	0
12516	Wolverhampton Wanderers FC (	Charlton Athletic FC (	2	0
12517	Southampton FC (	Cardiff City FC (	1	0
12518	Hull City AFC (	Barnsley FC (	3	0
12519	Burnley FC (	Norwich City FC (	2	1
12520	Charlton Athletic FC (	Plymouth Argyle FC (	1	2
12521	Coventry City FC (	Watford FC (	0	3
12522	Crystal Palace FC (	Stoke City FC (	1	3
12523	Ipswich Town FC (	Colchester United FC (	3	1
12524	Leicester City FC (	Sheffield United FC (	0	1
12525	Preston North End FC (	Queens Park Rangers FC (	0	0
12526	Sheffield Wednesday FC (	Scunthorpe United FC (	1	2
12527	West Bromwich Albion FC (	Blackpool FC (	2	1
12528	Bristol City FC (	Southampton FC (	2	1
12529	Cardiff City FC (	Wolverhampton Wanderers FC (	2	3
12530	Bristol City FC (	Stoke City FC (	1	0
12531	Burnley FC (	Southampton FC (	2	3
12532	Cardiff City FC (	Scunthorpe United FC (	1	1
12533	Charlton Athletic FC (	Queens Park Rangers FC (	0	1
12534	Coventry City FC (	Colchester United FC (	1	0
12535	Hull City AFC (	Sheffield United FC (	1	1
12536	Ipswich Town FC (	Wolverhampton Wanderers FC (	3	0
12537	Leicester City FC (	Barnsley FC (	2	0
12538	Preston North End FC (	Plymouth Argyle FC (	2	0
12539	Sheffield Wednesday FC (	Blackpool FC (	2	1
12540	West Bromwich Albion FC (	Norwich City FC (	2	0
12541	Crystal Palace FC (	Watford FC (	0	2
12542	Barnsley FC (	Preston North End FC (	1	0
12543	Colchester United FC (	Leicester City FC (	1	1
12544	Plymouth Argyle FC (	Sheffield Wednesday FC (	1	2
12545	Queens Park Rangers FC (	Hull City AFC (	2	0
12546	Scunthorpe United FC (	Crystal Palace FC (	0	0
12547	Sheffield United FC (	Burnley FC (	0	0
12548	Southampton FC (	Charlton Athletic FC (	0	1
12549	Stoke City FC (	Coventry City FC (	1	3
12550	Watford FC (	West Bromwich Albion FC (	0	3
12551	Wolverhampton Wanderers FC (	Bristol City FC (	1	1
12552	Norwich City FC (	Ipswich Town FC (	2	2
12553	Barnsley FC (	Blackpool FC (	2	1
12554	Bristol City FC (	Charlton Athletic FC (	0	1
12555	Burnley FC (	Hull City AFC (	0	1
12556	Cardiff City FC (	Crystal Palace FC (	1	1
12557	Colchester United FC (	Plymouth Argyle FC (	1	1
12558	Norwich City FC (	Watford FC (	1	3
12559	Preston North End FC (	Leicester City FC (	1	1
12560	Queens Park Rangers FC (	Coventry City FC (	1	2
12561	Scunthorpe United FC (	Stoke City FC (	2	3
12562	Sheffield United FC (	Ipswich Town FC (	3	1
12563	Southampton FC (	Wolverhampton Wanderers FC (	0	0
12564	West Bromwich Albion FC (	Sheffield Wednesday FC (	1	1
12565	Blackpool FC (	Scunthorpe United FC (	1	0
12566	Charlton Athletic FC (	Cardiff City FC (	3	0
12567	Crystal Palace FC (	Queens Park Rangers FC (	1	1
12568	Hull City AFC (	Preston North End FC (	3	0
12569	Ipswich Town FC (	Bristol City FC (	6	0
12570	Leicester City FC (	Burnley FC (	0	1
12571	Plymouth Argyle FC (	Norwich City FC (	3	0
12572	Sheffield Wednesday FC (	Southampton FC (	5	0
12573	Stoke City FC (	Sheffield United FC (	0	1
12574	Watford FC (	Colchester United FC (	2	2
12575	Wolverhampton Wanderers FC (	Barnsley FC (	1	0
12576	Coventry City FC (	West Bromwich Albion FC (	0	4
12577	Barnsley FC (	Watford FC (	3	2
12578	Bristol City FC (	Leicester City FC (	0	2
12579	Burnley FC (	Stoke City FC (	0	0
12580	Cardiff City FC (	Ipswich Town FC (	1	0
12581	Colchester United FC (	Crystal Palace FC (	1	2
12582	Norwich City FC (	Coventry City FC (	2	0
12583	Preston North End FC (	Charlton Athletic FC (	0	2
12584	Queens Park Rangers FC (	Sheffield Wednesday FC (	0	0
12585	Scunthorpe United FC (	Hull City AFC (	1	2
12586	Sheffield United FC (	Plymouth Argyle FC (	0	1
12587	Southampton FC (	Blackpool FC (	1	0
12588	West Bromwich Albion FC (	Wolverhampton Wanderers FC (	0	0
12589	Leicester City FC (	Cardiff City FC (	0	0
12590	Blackpool FC (	Norwich City FC (	1	3
12591	Charlton Athletic FC (	Sheffield United FC (	0	3
12592	Coventry City FC (	Scunthorpe United FC (	1	1
12593	Crystal Palace FC (	Preston North End FC (	2	1
12594	Hull City AFC (	Bristol City FC (	0	0
12595	Ipswich Town FC (	Southampton FC (	2	0
12596	Sheffield Wednesday FC (	Barnsley FC (	1	0
12597	Stoke City FC (	Queens Park Rangers FC (	3	1
12598	Watford FC (	Burnley FC (	1	2
12599	Plymouth Argyle FC (	West Bromwich Albion FC (	1	2
12600	Wolverhampton Wanderers FC (	Colchester United FC (	1	0
12601	Blackpool FC (	Queens Park Rangers FC (	1	0
12602	Charlton Athletic FC (	Burnley FC (	1	3
12603	Coventry City FC (	Sheffield United FC (	0	1
12604	Crystal Palace FC (	West Bromwich Albion FC (	1	1
12605	Hull City AFC (	Cardiff City FC (	2	2
12606	Ipswich Town FC (	Barnsley FC (	0	0
12607	Leicester City FC (	Southampton FC (	1	2
12608	Plymouth Argyle FC (	Scunthorpe United FC (	3	0
12609	Sheffield Wednesday FC (	Colchester United FC (	1	2
12610	Stoke City FC (	Norwich City FC (	2	1
12611	Watford FC (	Bristol City FC (	1	2
12612	Wolverhampton Wanderers FC (	Preston North End FC (	1	0
12613	Scunthorpe United FC (	Blackpool FC (	1	1
12614	Barnsley FC (	Wolverhampton Wanderers FC (	1	0
12615	Bristol City FC (	Ipswich Town FC (	2	0
12616	Burnley FC (	Leicester City FC (	1	1
12617	Cardiff City FC (	Charlton Athletic FC (	0	2
12618	Colchester United FC (	Watford FC (	2	3
12619	Norwich City FC (	Plymouth Argyle FC (	2	1
12620	Preston North End FC (	Hull City AFC (	3	0
12621	Queens Park Rangers FC (	Crystal Palace FC (	1	2
12622	Sheffield United FC (	Stoke City FC (	0	3
12623	Southampton FC (	Sheffield Wednesday FC (	0	0
12624	West Bromwich Albion FC (	Coventry City FC (	2	4
12625	Barnsley FC (	Crystal Palace FC (	0	0
12626	Cardiff City FC (	Colchester United FC (	4	1
12627	Charlton Athletic FC (	Ipswich Town FC (	3	1
12628	Leicester City FC (	West Bromwich Albion FC (	1	2
12629	Norwich City FC (	Sheffield United FC (	1	0
12630	Plymouth Argyle FC (	Bristol City FC (	1	1
12631	Preston North End FC (	Blackpool FC (	0	1
12632	Scunthorpe United FC (	Queens Park Rangers FC (	2	2
12633	Southampton FC (	Hull City AFC (	4	0
12634	Wolverhampton Wanderers FC (	Burnley FC (	2	3
12635	Stoke City FC (	Watford FC (	0	0
12636	Blackpool FC (	Cardiff City FC (	0	1
12637	Burnley FC (	Queens Park Rangers FC (	0	2
12638	Ipswich Town FC (	Leicester City FC (	3	1
12639	Blackpool FC (	Stoke City FC (	2	3
12640	Bristol City FC (	Cardiff City FC (	1	0
12641	Burnley FC (	Preston North End FC (	2	3
12642	Colchester United FC (	Norwich City FC (	1	1
12643	Coventry City FC (	Southampton FC (	1	1
12644	Crystal Palace FC (	Sheffield Wednesday FC (	2	1
12645	Hull City AFC (	Leicester City FC (	2	0
12646	Ipswich Town FC (	Scunthorpe United FC (	3	2
12647	Queens Park Rangers FC (	Wolverhampton Wanderers FC (	0	0
12648	Sheffield United FC (	Barnsley FC (	1	0
12649	Watford FC (	Plymouth Argyle FC (	0	1
12650	West Bromwich Albion FC (	Charlton Athletic FC (	4	2
12651	Blackpool FC (	Coventry City FC (	4	0
12652	Bristol City FC (	Barnsley FC (	3	2
12653	Cardiff City FC (	Sheffield United FC (	1	0
12654	Charlton Athletic FC (	Hull City AFC (	1	1
12655	Crystal Palace FC (	Plymouth Argyle FC (	2	1
12656	Ipswich Town FC (	Burnley FC (	0	0
12657	Queens Park Rangers FC (	Colchester United FC (	2	1
12658	Scunthorpe United FC (	Norwich City FC (	0	1
12659	Sheffield Wednesday FC (	Watford FC (	0	1
12660	Southampton FC (	Preston North End FC (	0	1
12661	Stoke City FC (	West Bromwich Albion FC (	3	1
12662	Wolverhampton Wanderers FC (	Leicester City FC (	1	1
12663	Barnsley FC (	Stoke City FC (	3	3
12664	Burnley FC (	Sheffield Wednesday FC (	1	1
12665	Colchester United FC (	Southampton FC (	1	1
12666	Coventry City FC (	Crystal Palace FC (	0	2
12667	Hull City AFC (	Wolverhampton Wanderers FC (	2	0
12668	Leicester City FC (	Ipswich Town FC (	2	0
12669	Norwich City FC (	Charlton Athletic FC (	1	1
12670	Plymouth Argyle FC (	Queens Park Rangers FC (	2	1
12671	Preston North End FC (	Scunthorpe United FC (	0	1
12672	Sheffield United FC (	Blackpool FC (	1	1
12673	Watford FC (	Cardiff City FC (	2	2
12674	West Bromwich Albion FC (	Bristol City FC (	4	1
12675	Barnsley FC (	Southampton FC (	2	2
12676	Burnley FC (	Bristol City FC (	0	1
12677	Colchester United FC (	Blackpool FC (	0	2
12678	Coventry City FC (	Ipswich Town FC (	2	1
12679	Leicester City FC (	Charlton Athletic FC (	1	1
12680	Norwich City FC (	Wolverhampton Wanderers FC (	1	1
12681	Plymouth Argyle FC (	Stoke City FC (	2	2
12682	Preston North End FC (	Cardiff City FC (	1	2
12683	Sheffield United FC (	Crystal Palace FC (	0	1
12684	Watford FC (	Queens Park Rangers FC (	2	4
12685	West Bromwich Albion FC (	Scunthorpe United FC (	5	0
12686	Hull City AFC (	Sheffield Wednesday FC (	1	0
12687	Blackpool FC (	Burnley FC (	3	0
12688	Bristol City FC (	Coventry City FC (	2	1
12689	Cardiff City FC (	Plymouth Argyle FC (	1	0
12690	Charlton Athletic FC (	Colchester United FC (	1	2
12691	Crystal Palace FC (	Norwich City FC (	1	1
12692	Ipswich Town FC (	West Bromwich Albion FC (	2	0
12693	Queens Park Rangers FC (	Leicester City FC (	3	1
12694	Scunthorpe United FC (	Barnsley FC (	2	2
12695	Sheffield Wednesday FC (	Preston North End FC (	2	1
12696	Southampton FC (	Watford FC (	0	3
12697	Stoke City FC (	Hull City AFC (	1	1
12698	Wolverhampton Wanderers FC (	Sheffield United FC (	0	0
12699	Barnsley FC (	Norwich City FC (	1	3
12700	Bristol City FC (	Colchester United FC (	1	1
12701	Burnley FC (	Plymouth Argyle FC (	1	0
12702	Cardiff City FC (	Sheffield Wednesday FC (	1	0
12703	Charlton Athletic FC (	Blackpool FC (	4	1
12704	Hull City AFC (	West Bromwich Albion FC (	1	3
12705	Ipswich Town FC (	Stoke City FC (	1	1
12706	Leicester City FC (	Coventry City FC (	2	0
12707	Preston North End FC (	Watford FC (	1	0
12708	Sheffield United FC (	Queens Park Rangers FC (	2	1
12709	Southampton FC (	Scunthorpe United FC (	1	0
12710	Wolverhampton Wanderers FC (	Crystal Palace FC (	0	3
12711	Blackpool FC (	Ipswich Town FC (	1	1
12712	Coventry City FC (	Burnley FC (	1	2
12713	Crystal Palace FC (	Bristol City FC (	2	0
12714	Norwich City FC (	Leicester City FC (	0	0
12715	Plymouth Argyle FC (	Southampton FC (	1	1
12716	Queens Park Rangers FC (	Barnsley FC (	2	0
12717	Scunthorpe United FC (	Wolverhampton Wanderers FC (	0	2
12718	Sheffield Wednesday FC (	Sheffield United FC (	2	0
12719	Stoke City FC (	Preston North End FC (	3	1
12720	Watford FC (	Charlton Athletic FC (	1	1
12721	West Bromwich Albion FC (	Cardiff City FC (	3	3
12722	Bristol City FC (	Blackpool FC (	1	0
12723	Burnley FC (	Scunthorpe United FC (	2	0
12724	Leicester City FC (	Crystal Palace FC (	1	0
12725	Barnsley FC (	Colchester United FC (	1	0
12726	Cardiff City FC (	Queens Park Rangers FC (	3	1
12727	Charlton Athletic FC (	Stoke City FC (	1	0
12728	Hull City AFC (	Coventry City FC (	1	0
12729	Ipswich Town FC (	Plymouth Argyle FC (	0	0
12730	Preston North End FC (	West Bromwich Albion FC (	2	1
12731	Sheffield United FC (	Watford FC (	1	1
12732	Southampton FC (	Norwich City FC (	0	1
12733	Wolverhampton Wanderers FC (	Sheffield Wednesday FC (	2	1
12734	Blackpool FC (	Leicester City FC (	2	1
12735	Colchester United FC (	Sheffield United FC (	2	2
12736	Coventry City FC (	Barnsley FC (	4	0
12737	Crystal Palace FC (	Southampton FC (	1	1
12738	Norwich City FC (	Preston North End FC (	1	0
12739	Plymouth Argyle FC (	Hull City AFC (	0	1
