	Team 1	Team 2	Home_team_score	Away_team_score
409	Southampton FC 	Manchester United FC 	2	3
410	Arsenal FC 	Southampton FC 	6	1
411	Aston Villa FC 	Swansea City AFC 	2	0
412	Fulham FC 	West Bromwich Albion FC 	3	0
413	Manchester United FC 	Wigan Athletic FC 	4	0
414	Norwich City FC 	West Ham United FC 	0	0
415	Queens Park Rangers FC 	Chelsea FC 	0	0
416	Stoke City FC 	Manchester City FC 	1	1
417	Sunderland AFC 	Liverpool FC 	1	1
418	Reading FC 	Tottenham Hotspur FC 	1	3
419	Everton FC 	Newcastle United FC 	2	2
420	Chelsea FC 	Stoke City FC 	1	0
421	Southampton FC 	Aston Villa FC 	4	1
422	Swansea City AFC 	Everton FC 	0	3
423	West Bromwich Albion FC 	Reading FC 	1	0
424	West Ham United FC 	Sunderland AFC 	1	1
425	Wigan Athletic FC 	Fulham FC 	1	2
426	Liverpool FC 	Manchester United FC 	1	2
427	Manchester City FC 	Arsenal FC 	1	1
428	Newcastle United FC 	Norwich City FC 	1	0
429	Tottenham Hotspur FC 	Queens Park Rangers FC 	2	1
430	Arsenal FC 	Chelsea FC 	1	2
431	Everton FC 	Southampton FC 	3	1
432	Fulham FC 	Manchester City FC 	1	2
433	Manchester United FC 	Tottenham Hotspur FC 	2	3
434	Norwich City FC 	Liverpool FC 	2	5
435	Reading FC 	Newcastle United FC 	2	2
436	Stoke City FC 	Swansea City AFC 	2	0
437	Sunderland AFC 	Wigan Athletic FC 	1	0
438	Aston Villa FC 	West Bromwich Albion FC 	1	1
439	Queens Park Rangers FC 	West Ham United FC 	1	2
440	Chelsea FC 	Norwich City FC 	4	1
441	Manchester City FC 	Sunderland AFC 	3	0
442	Swansea City AFC 	Reading FC 	2	2
443	West Bromwich Albion FC 	Queens Park Rangers FC 	3	2
444	West Ham United FC 	Arsenal FC 	1	3
445	Wigan Athletic FC 	Everton FC 	2	2
446	Liverpool FC 	Stoke City FC 	0	0
447	Newcastle United FC 	Manchester United FC 	0	3
448	Southampton FC 	Fulham FC 	2	2
449	Tottenham Hotspur FC 	Aston Villa FC 	2	0
450	Fulham FC 	Aston Villa FC 	1	0
451	Liverpool FC 	Reading FC 	1	0
452	Manchester United FC 	Stoke City FC 	4	2
453	Norwich City FC 	Arsenal FC 	1	0
454	Swansea City AFC 	Wigan Athletic FC 	2	1
455	Tottenham Hotspur FC 	Chelsea FC 	2	4
456	West Bromwich Albion FC 	Manchester City FC 	1	2
457	West Ham United FC 	Southampton FC 	4	1
458	Queens Park Rangers FC 	Everton FC 	1	1
459	Sunderland AFC 	Newcastle United FC 	1	1
460	Arsenal FC 	Queens Park Rangers FC 	1	0
461	Aston Villa FC 	Norwich City FC 	1	1
462	Manchester City FC 	Swansea City AFC 	1	0
463	Reading FC 	Fulham FC 	3	3
464	Stoke City FC 	Sunderland AFC 	0	0
465	Wigan Athletic FC 	West Ham United FC 	2	1
466	Chelsea FC 	Manchester United FC 	2	3
467	Everton FC 	Liverpool FC 	2	2
468	Newcastle United FC 	West Bromwich Albion FC 	2	1
469	Southampton FC 	Tottenham Hotspur FC 	1	2
